"Precio"	"Kilometraje"	"Sonido"
24600	17319	0
23446	21160	1
22862	22272	1
22593	22814	1
25296	10014	0
24271	23055	1
25623	19854	1
24765	23204	1
28001	8017	0
25833	14613	0
24230	22590	1
25101	22881	1
25263	26786	0
27261	18464	0
26543	20907	0
27189	19830	1
26801	21822	1
24357	25357	0
26656	21545	0
27384	14568	1
24645	22598	0
22647	38717	0
30167	9795	1
25912	28598	1
31848	1676	1
27131	23143	1
27342	22052	1
25505	26276	1
25848	25247	1
29769	7924	0
28184	15087	1
26208	26503	0
28954	16956	0
28686	20103	1
26071	25380	0
27237	20015	1
27796	22298	1
27195	22105	0
26587	3907	0
22547	26345	1
20223	50387	0
23633	21433	1
28324	18805	1
26468	21960	0
27676	15050	0
22640	40719	1
28259	18187	1
30005	6409	1
28321	17317	0
21208	25218	0
23599	17431	0
22186	31344	1
25185	24738	1
23289	20208	0
25641	22021	1
24804	14281	1
28145	17673	1
25753	20685	0
23648	34269	1
27520	23426	1
24505	31773	0
29682	16975	1
21875	27674	1
23496	36557	1
27874	14278	0
27566	16225	1
