"Precio"	"Kilometraje"
20601	20105
19750	13457
26493	31655
27938	22479
30326	17590
27559	23635
30347	17381
27501	27558
27424	25049
24600	17319
24401	10003
23446	21160
22862	22272
21976	27015
22593	22814
25296	10014
24271	23055
25623	19854
24765	23204
28001	8017
25833	14613
24230	22590
25101	22881
25263	26786
27261	18464
26543	20907
27189	19830
26801	21822
24357	25357
26656	21545
33985	16088
31266	24031
34841	12090
32095	21293
26162	48991
30226	27051
32346	21167
27522	10800
27384	14568
29270	3867
24645	22598
27594	11273
24779	26400
25720	22328
22647	38717
30167	9795
25912	28598
31848	1676
27131	23143
27342	22052
25505	26276
25848	25247
29769	7924
28184	15087
26208	26503
28954	16956
28686	20103
26071	25380
27237	20015
27796	22298
27195	22105
15750	19894
14902	18096
14096	24239
13907	23062
14617	22779
15047	19531
13224	33374
33899	32039
42484	3625
42787	5239
37610	20000
35952	23826
38885	14546
33610	30502
10185	27364
11856	13607
11098	23512
10660	23103
11825	7372
10136	34447
9808	31436
11427	22479
12749	13776
11552	27521
10874	27394
11646	19461
11677	22382
11725	23200
36103	8967
36251	7054
28352	34191
35787	11619
31179	24259
35446	9410
32056	21350
24883	24960
28204	13678
25911	27199
29291	10915
26905	16193
26968	21418
25044	26126
11331	21891
11964	13145
11666	20618
11144	24318
11332	23931
11662	19081
10821	25285
16137	25040
16496	18339
16157	25052
16681	23852
15813	25464
18272	10036
18816	2992
18113	19800
16189	32896
17977	23359
18671	15066
17586	23765
16858	26034
18647	16633
21624	10577
20326	8970
19905	16508
20842	14363
19144	24469
17779	25245
19257	21394
19401	25212
19078	27096
19712	26779
19817	24439
21316	15755
20924	18147
21407	16235
35091	17138
32868	25339
32798	21966
36669	14743
32126	25163
35734	16041
36183	14095
29579	41829
34100	21593
29958	36074
32950	26250
37142	12791
37616	8125
33832	22211
15639	9380
16069	5131
13867	20917
13366	23335
13690	22641
15266	12071
15584	6761
17459	26477
16845	30063
18752	20770
16507	28354
17764	22628
19886	12313
19912	4537
14353	25295
15603	20829
15063	25777
14901	21304
14052	29925
14804	26511
16595	16554
14366	21461
13088	31424
13518	31791
14154	18206
14866	16078
14300	21391
14525	17053
17861	21132
18340	21211
20091	12314
17001	24992
17680	27721
19347	17417
19301	11229
21435	19148
20211	21929
20172	25651
20478	19521
21318	17273
19458	27168
19273	31197
62333	6420
64323	583
47275	42691
55061	23193
58103	18200
62849	7892
60340	12021
15747	10102
15006	16229
14932	14242
13744	25979
16344	10986
12351	35662
14301	20484
19917	17353
19047	20158
17660	27839
17447	29187
19960	17787
18165	24323
19678	19562
29160	23553
25151	35157
31654	12251
30491	20925
29063	24559
32384	10340
29761	19112
21136	27686
26587	3907
22547	26345
20223	50387
24341	16688
23633	21433
23000	19569
28324	18805
26468	21960
27676	15050
22640	40719
28259	18187
30005	6409
28321	17317
21208	25218
21159	21616
24801	4836
23599	17431
11483	22571
11296	22771
11409	25816
11159	19612
12224	17741
11200	24568
11123	30297
11532	29891
11412	32844
12895	20374
11836	27942
14316	6048
12454	25845
12300	27249
17434	10414
14871	23491
14361	26700
15923	18602
16400	11647
14860	25931
17091	5827
9442	22225
10016	20100
11058	12101
10088	20334
9797	27906
11042	10011
10429	19699
15296	23460
13558	33906
16183	19386
15040	24583
15222	21829
14676	26532
16265	17020
11282	11981
11195	4142
11499	3629
9537	30948
10289	11156
10636	15253
10195	19945
13541	2464
11971	14630
12028	25862
11431	25048
10299	39946
11258	25069
13344	11488
12314	27431
13004	21128
13497	12980
13267	18790
12495	23748
12444	21611
11583	34815
17342	18198
16218	25453
19779	1853
16172	26980
16843	19874
15722	29368
17194	21512
14975	21675
14819	25697
13762	32462
15599	21417
14203	27476
17422	1480
15449	23621
11118	28408
11370	19715
11946	19898
13685	4652
12358	20682
12241	14231
13311	6224
12960	16958
12099	20043
12860	20512
11768	21684
11678	27560
12970	8615
12444	18766
18198	22729
18945	22152
15988	39049
18797	18021
20349	14788
19768	7065
10164	23121
10028	20156
9929	23119
10312	20186
10013	25746
10064	25476
10356	21421
16612	16335
17702	6608
16057	19490
16373	15190
15444	24905
15958	18451
16647	17441
10835	7278
9017	34621
9823	21013
10275	14627
9791	25065
9884	25869
11281	10213
13093	21527
13785	17158
13190	18910
14652	865
13543	18210
13713	14824
13107	19818
14912	23133
15742	19593
15563	18277
15328	19883
15033	24218
17679	932
14814	28239
15327	22841
16659	7397
17250	5632
14570	22889
14788	21452
17801	7645
16518	14754
13529	14376
12472	23645
12798	26788
13102	26986
12719	21020
13666	19455
13428	22255
12289	25981
12568	26034
14778	10555
12608	24349
15379	2879
12556	26236
10490	38958
16878	24747
17142	22423
17893	11554
18472	17583
16222	21121
16980	16496
16153	28385
12692	19602
13707	13262
11849	23976
14186	5788
14526	3946
13493	12420
14891	4188
14281	22236
13680	22964
13905	27325
14854	19832
15947	9135
14744	13196
15740	8221
19847	25564
21292	18910
22817	10014
20980	23798
20396	22287
23264	2308
42498	15343
46504	2202
38798	24052
39902	23371
40273	23751
36926	30082
40077	21367
27993	17870
26614	21056
27630	18449
28143	10625
27983	14937
30380	6598
25491	27484
28347	26222
30200	18661
29547	17508
29554	20910
28236	27544
28302	23124
32469	6447
33303	22042
34816	16754
38856	2846
37242	7476
29126	35326
33812	19100
31795	25796
40187	15104
38525	18581
43918	788
37742	23861
37883	20575
37321	25717
34735	31303
11884	14311
10490	24163
10635	19816
10522	21525
11130	25014
10611	25727
12783	4922
14139	7695
10529	36566
11965	21145
12798	17445
13679	12305
11802	20309
12927	23069
11963	22740
11526	28683
12723	17270
12904	9561
13360	6709
13257	7115
11360	26204
18201	1787
14140	33357
15131	22383
17123	8211
15595	21567
14502	26070
15008	27460
15133	20154
15653	14579
15536	8732
15875	11393
14255	25956
15230	18562
14241	25787
16928	25516
18593	10338
18798	11204
19439	7287
17541	19539
16402	21702
14743	35624
14295	23989
18020	1592
14324	29325
14526	21974
14778	22637
14583	27800
17788	2189
13737	2392
10942	19853
10999	22758
11168	24740
12912	11836
12834	12878
11629	16163
13399	1737
11787	29707
11284	24664
9603	32458
11212	21877
11017	22826
10474	34998
11005	28298
11056	21770
11930	19101
12268	19500
11976	13318
12015	24069
11449	26328
10618	23388
18937	19419
19643	11069
20004	15516
17378	26252
21089	2295
18282	22891
21002	5653
24347	12052
19579	37128
23809	17335
23691	9795
21054	25869
23911	13050
21225	24027
15188	9150
15389	2973
13554	23323
14890	8754
14202	23217
15835	4463
14384	14304
21431	12466
19110	25550
21389	14948
18225	24665
20428	22626
18745	24067
19568	25020
25195	5379
23590	636
20058	27384
21047	27940
18450	33892
20813	26272
22554	16111
9413	14521
9353	16521
9906	6699
8899	22986
9187	14200
8642	22169
8383	29992
7972	35299
8064	32914
9377	14438
8776	19183
8220	26191
9974	7091
7854	25216
26920	32477
30534	18930
33717	3828
22186	31344
25185	24738
23289	20208
21576	27600
25641	22021
24804	14281
28145	17673
25753	20685
23648	34269
30895	25420
34697	13162
33035	18195
22970	34175
29139	5144
24354	22189
27520	23426
24505	31773
29682	16975
14643	19465
13795	27887
14576	18391
35295	25960
40682	12115
36083	25169
11942	21796
10951	19136
35538	10717
31581	25747
32341	22740
11915	21910
11352	28492
10491	22405
11336	19712
24933	23886
23206	36480
11664	17830
11100	26097
29475	9185
11707	19225
17298	21797
16314	19592
16042	27830
19396	10237
16335	34665
17368	24008
19509	19467
19339	18908
18551	22596
20209	22102
19002	29649
20568	23612
32606	24415
34951	18661
31532	25421
38928	5499
33030	25153
37654	14452
14178	18315
15783	881
14177	22414
15541	18720
13603	31471
15452	25830
20095	9049
20670	5690
20283	11221
13715	27438
14173	21307
16185	12303
19364	12772
17657	25557
18143	26028
23139	11892
19786	25794
19984	20472
50581	31805
59347	15600
51959	29260
16810	7755
14705	19095
16522	5826
19602	23767
17856	31324
19614	20137
31232	17711
30261	21661
29064	21208
22633	21266
21875	27674
23943	16068
23496	36557
27874	14278
27566	16225
14214	1169
16077	15898
13259	1160
14094	33345
12438	10210
17192	8345
11207	19347
13290	15768
12100	26143
9026	29680
10125	22484
10041	24568
17228	8687
15204	19740
17234	5936
10505	13404
16439	29420
10073	36855
12246	18910
12907	11322
17645	18795
17753	14115
13637	14504
9049	37345
17092	7961
13754	13828
13634	8880
13848	32535
15871	15144
9223	23963
13089	5189
11576	21386
12435	17971
12977	18533
12929	8427
12512	18040
18670	16950
19304	17337
17161	27218
10105	30056
10225	21427
10359	25107
15559	24461
16368	18771
15276	25874
15739	21420
10154	22380
14935	9882
12902	21181
9929	27776
12887	21627
10559	19014
14856	25394
15195	26328
15613	18721
16351	17488
14961	20200
12364	27231
13995	12920
13888	16951
11848	30108
13366	17656
14217	8507
13934	4318
18297	18419
14405	5350
11966	24542
16421	27574
17955	20510
21357	20453
19889	23237
19725	25489
14852	16342
13511	24021
13845	22576
44771	6685
31936	11975
40119	21341
28574	11013
43969	2616
39431	25199
32918	21778
35520	31587
32411	10555
27860	17094
35269	13973
31969	13449
32632	23056
40965	13829
26197	21039
12793	15233
12215	20530
15602	15903
9588	38866
12309	17343
11254	31199
13118	6114
12573	17594
11143	21492
17025	14054
14204	21272
15006	17451
10422	29410
15277	19498
14393	31202
15321	17959
15015	20751
14357	41566
16863	20870
15476	30404
14516	25598
11176	17139
10459	33962
10794	28398
13244	18511
12726	18257
12053	14938
10376	32619
13814	12412
17900	27077
20419	8928
17580	27966
24392	4695
23189	17480
21279	25387
15649	12610
13503	24270
13090	21688
18383	26223
18529	25240
20103	21992
22816	14461
20110	28242
21223	22964
10153	4716
9830	266
8837	20836
8620	24842
8694	19273
8787	19565
