"Precio"	"Antiguedad_Meses"	"KM"	"Combustible"	"CV"	"Metalizado"	"Automatico"	"CC"	"N_Puertas"	"Peso"
9091	23	46986	"Diesel"	88.74	"No"	"Si"	2000	3	1165
9318	23	72937	"Diesel"	88.74	"No"	"Si"	2000	3	1165
9500	24	41711	"Diesel"	88.74	"No"	"Si"	2000	3	1165
10409	26	48000	"Diesel"	88.74	"Si"	"Si"	2000	3	1165
9318	30	38500	"Diesel"	88.74	"Si"	"Si"	2000	3	1170
8591	32	61000	"Diesel"	88.74	"Si"	"Si"	2000	3	1170
12182	27	94612	"Diesel"	88.74	"No"	"Si"	2000	3	1245
13727	30	75889	"Diesel"	88.74	"No"	"Si"	2000	3	1245
16364	27	19700	"Gasolina"	189.312	"Si"	"Si"	1800	3	1185
8591	23	71138	"Diesel"	68.034	"Si"	"Si"	1900	3	1105
15864	25	31461	"Gasolina"	189.312	"Si"	"Si"	1800	3	1185
14955	22	43610	"Gasolina"	189.312	"Si"	"Si"	1800	3	1185
14636	25	32189	"Gasolina"	189.312	"Si"	"Si"	1800	3	1185
16364	31	23000	"Gasolina"	189.312	"No"	"Si"	1800	3	1185
17273	32	34131	"Gasolina"	189.312	"No"	"Si"	1800	3	1185
16818	28	18739	"Gasolina"	189.312	"Si"	"Si"	1800	3	1185
17500	30	34000	"Gasolina"	189.312	"No"	"Si"	1800	3	1185
13136	24	21716	"Gasolina"	108.46	"No"	"Si"	1600	3	1105
12045	24	25563	"Gasolina"	108.46	"Si"	"Si"	1600	3	1065
12227	30	64359	"Gasolina"	108.46	"No"	"Si"	1600	3	1105
11318	30	67660	"Gasolina"	108.46	"No"	"Si"	1600	3	1105
12227	29	43905	"Gasolina"	108.46	"Si"	"No"	1600	3	1170
11318	28	56349	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
12227	28	32220	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
11591	29	25813	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
11318	25	28450	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
12723	27	34545	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
11136	29	41415	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
12227	28	44142	"Gasolina"	108.46	"Si"	"Si"	1600	3	1120
13136	30	11090	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
8591	29	9750	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
11136	22	35199	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
11318	27	29510	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
10409	26	32692	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
10909	22	41000	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
11136	26	43000	"Gasolina"	95.642	"Si"	"Si"	1400	3	1100
11318	25	25000	"Gasolina"	95.642	"Si"	"Si"	1400	3	1100
10409	23	10000	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
11136	32	25329	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
10227	27	27500	"Gasolina"	95.642	"Si"	"Si"	1400	3	1100
9500	22	49059	"Gasolina"	95.642	"Si"	"Si"	1400	3	1100
12045	27	44068	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
9500	22	46961	"Gasolina"	95.642	"Si"	"Si"	1400	3	1100
12227	27	110404	"Diesel"	88.74	"Si"	"Si"	2000	5	1255
12227	22	100250	"Diesel"	88.74	"Si"	"Si"	2000	5	1255
14091	23	84000	"Diesel"	88.74	"Si"	"Si"	2000	5	1270
13136	27	79375	"Diesel"	88.74	"No"	"Si"	2000	5	1255
11182	22	75048	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
13136	22	72215	"Diesel"	88.74	"No"	"Si"	2000	5	1255
16773	31	64982	"Gasolina"	189.312	"No"	"Si"	1800	5	1195
13136	22	62636	"Diesel"	88.74	"No"	"Si"	2000	5	1255
11136	30	57086	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
15455	26	56000	"Gasolina"	108.46	"No"	"No"	1600	5	1180
16773	27	49866	"Gasolina"	189.312	"No"	"Si"	1800	5	1195
10909	25	49163	"Gasolina"	108.46	"Si"	"No"	1600	5	1165
8864	32	45725	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
10682	28	43210	"Gasolina"	95.642	"Si"	"Si"	1400	5	1110
10682	26	43000	"Gasolina"	95.642	"Si"	"Si"	1400	5	1110
14045	23	39704	"Gasolina"	108.46	"No"	"No"	1600	5	1180
11363	30	38950	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
10409	22	37400	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
