Demografía > Población > Cifras padronales
    Población según sexos y grupos de edad grandes y quinquenales. Islas de Canarias y años.
Población según sexos y grupos de edad grandes y quinquenales. Islas de Canarias y años.
Unidad de medida:Personas


;2019;;2018;;2017;;2016;;2015;;2014;;2013;;2012;;2011;;2010;;2009;;2008;;2007;;2006;;2005;;2004;;2003;;2002;;2001;;2000
;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres
CANARIAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   TOTAL;1.065.971;1.087.418;1.054.032;1.073.653;1.045.113;1.063.008;1.042.838;1.059.086;1.043.203;1.057.103;1.046.373;1.058.442;1.055.302;1.063.377;1.056.240;1.062.104;1.061.591;1.065.178;1.058.706;1.059.813;1.052.636;1.051.356;1.040.137;1.035.831;1.015.493;1.010.458;1.001.394;994.439;988.230;980.050;960.658;954.882;950.159;944.709;923.353;920.402;890.537;890.829;854.879;861.397
   0 a 14;147.270;139.797;148.660;141.368;149.565;142.137;151.524;144.061;153.816;145.584;155.891;147.881;158.140;149.459;159.016;150.728;159.792;151.536;159.898;152.015;159.561;151.800;158.017;151.418;154.744;148.334;152.982;146.512;152.792;146.308;151.962;145.461;152.735;146.428;149.643;143.857;144.923;139.556;142.101;137.416
    0 a 4;41.435;39.237;41.571;39.742;41.972;40.228;42.614;40.818;43.883;41.543;45.168;42.858;47.662;45.055;49.285;46.544;50.512;47.834;51.179;48.383;51.541;48.701;51.074;48.220;49.172;46.347;48.010;45.163;47.592;44.500;47.141;44.239;47.417;44.280;44.161;42.367;39.439;38.948;37.352;37.286
    5 a 9;48.968;46.480;50.725;48.097;51.756;48.951;53.254;50.456;54.245;51.502;55.149;52.568;55.355;52.493;55.249;52.336;55.354;52.166;55.420;52.292;55.168;52.087;54.239;51.137;52.161;50.343;50.627;49.815;49.937;49.487;48.966;48.399;48.904;48.708;49.611;48.139;50.022;47.297;49.904;47.129
    10 a 14;56.867;54.080;56.364;53.529;55.837;52.958;55.656;52.787;55.688;52.539;55.574;52.455;55.123;51.911;54.482;51.848;53.926;51.536;53.299;51.340;52.852;51.012;52.704;52.061;53.411;51.644;54.345;51.534;55.263;52.321;55.855;52.823;56.414;53.440;55.871;53.351;55.462;53.311;54.845;53.001
    15 a 19;57.393;54.009;56.069;52.558;54.884;51.927;53.851;51.284;53.017;50.698;52.755;50.170;52.942;50.524;55.022;51.720;57.042;53.399;58.272;54.549;59.440;55.853;60.148;56.923;59.609;56.940;60.029;57.551;60.271;57.842;59.705;57.760;60.201;58.291;61.115;59.140;62.118;60.403;63.696;61.909
    20 a 24;57.974;57.447;57.351;57.030;57.826;56.590;58.308;56.691;59.038;57.729;60.338;58.860;61.366;59.933;62.100;61.025;64.806;64.337;66.000;65.856;67.409;67.623;68.185;68.600;69.119;68.927;71.175;70.516;73.869;72.706;75.140;73.917;77.095;75.555;77.488;75.590;77.223;74.476;76.208;73.546
    25 a 29;67.090;66.825;66.999;66.832;66.342;66.665;66.509;67.733;67.143;68.665;68.323;70.444;70.094;72.283;72.844;74.960;77.751;79.241;82.323;83.289;86.789;86.707;89.636;88.636;90.472;88.205;92.129;88.680;93.501;88.966;92.531;87.647;93.265;88.208;92.805;87.755;90.280;85.689;87.196;83.482
    30 a 34;71.643;73.128;71.588;73.155;73.011;74.717;75.795;77.376;79.854;80.854;84.323;84.855;88.678;88.414;91.882;90.324;95.464;92.617;97.880;93.828;100.239;95.051;101.541;95.543;101.429;95.144;102.027;95.093;102.251;94.978;98.977;92.477;97.260;90.559;93.383;87.909;88.410;84.252;83.603;81.132
    35 a 39;85.058;85.348;87.335;86.895;89.413;87.876;92.091;89.536;94.591;91.056;97.414;92.935;100.165;95.220;101.914;96.614;103.244;97.624;104.121;97.977;103.851;97.447;102.455;95.236;99.276;92.663;97.170;90.912;95.276;89.592;92.379;87.369;90.871;86.004;86.883;82.832;81.944;78.672;76.447;74.298
    40 a 44;97.178;93.471;97.904;93.951;99.099;94.737;100.062;95.440;100.798;95.860;100.813;95.858;100.644;95.306;99.469;94.294;98.405;93.721;97.071;92.635;96.599;91.700;95.107;89.620;91.806;86.804;88.804;84.180;85.668;81.217;80.030;76.133;76.250;73.110;71.989;68.819;67.567;64.528;62.889;60.469
    45 a 49;100.053;96.488;97.929;94.187;96.193;92.614;94.634;91.455;93.618;90.840;93.465;90.329;93.342;89.798;91.768;88.290;89.763;86.784;87.147;84.014;83.040;80.273;79.339;76.531;75.282;72.170;72.153;68.665;68.953;65.348;65.288;62.362;63.007;60.295;60.062;57.662;56.553;54.775;53.408;51.808
    50 a 54;92.025;91.049;90.263;88.986;88.005;86.941;85.770;84.592;83.089;81.933;79.450;78.496;76.977;76.007;74.243;73.056;72.652;71.074;69.886;68.108;67.378;66.015;64.832;63.410;61.998;60.553;59.650;58.212;57.661;55.994;55.440;53.427;54.229;51.895;51.772;49.742;49.392;47.776;47.353;46.446
    55 a 59;77.386;78.270;73.361;74.363;70.123;70.941;67.634;68.122;65.523;65.609;63.712;64.168;62.601;63.101;61.042;61.565;59.720;60.259;58.315;58.572;56.924;56.619;55.489;54.503;53.222;52.408;51.441;50.796;50.120;49.863;48.379;47.980;47.299;47.235;45.975;45.922;43.720;43.247;41.311;41.130
    60 a 64;60.770;63.038;58.563;60.808;56.757;58.917;55.303;57.345;54.030;55.843;53.321;54.744;53.263;54.195;52.066;53.257;51.424;52.651;50.647;52.074;49.801;50.960;48.359;49.415;47.012;47.881;45.168;45.589;43.353;43.865;39.589;40.638;37.920;39.014;35.851;37.126;35.526;37.487;33.982;36.559
    65 a 69;50.041;53.118;48.840;51.392;47.336;49.950;46.388;49.274;46.027;49.263;45.833;48.812;45.973;48.855;45.673;48.293;44.614;46.454;43.497;45.264;40.295;42.356;38.085;40.096;35.856;38.138;35.582;38.572;34.596;37.819;35.475;38.970;36.532;40.163;36.557;40.521;35.214;39.057;33.411;37.456
    70 a 74;40.403;45.259;39.346;44.244;38.747;43.448;37.799;41.766;37.036;40.855;34.886;38.788;34.409;38.123;33.460;37.234;33.372;37.832;32.816;37.233;33.641;38.471;33.969;39.032;33.668;39.125;32.574;37.932;31.324;36.785;29.532;35.041;28.299;33.989;26.316;31.698;25.068;30.080;23.100;28.031
    75 a 79;28.079;34.301;26.635;32.656;25.353;31.543;25.567;32.189;25.386;31.937;26.808;33.659;28.189;35.388;28.620;36.102;27.783;35.092;26.622;34.008;25.148;32.368;23.630;30.784;21.830;28.767;20.825;27.317;19.744;25.897;18.516;24.706;17.943;23.754;17.097;22.920;16.455;22.097;15.160;20.854
    80 a 84;18.934;27.518;19.405;28.310;19.614;28.751;19.258;28.114;18.664;27.420;17.933;26.503;17.545;25.710;16.439;24.312;15.549;22.990;14.666;21.662;13.696;20.614;13.015;19.443;12.325;18.569;11.818;17.924;11.184;17.426;10.246;16.034;9.773;15.384;9.158;14.501;8.784;14.249;8.318;13.645
    85 a 89;10.535;18.757;9.863;17.881;9.124;16.555;8.728;15.714;8.148;14.873;7.850;14.204;7.679;13.549;7.463;13.169;7.192;12.674;6.713;12.174;6.144;11.195;5.682;10.430;5.254;9.779;5.016;9.589;4.920;9.353;5.009;9.420;5.062;9.460;5.007;9.258;5.124;9.373;4.728;8.823
    90 a 94;3.237;7.311;3.068;6.858;2.880;6.508;2.809;6.267;2.644;5.963;2.465;5.641;2.494;5.459;2.405;5.185;2.242;4.951;2.121;4.752;2.060;4.691;2.064;4.698;2.005;4.544;2.164;4.673;2.096;4.558;1.896;4.123;1.882;4.017;1.767;3.932;1.770;3.940;1.585;3.442
    95 a 99;669;1.829;638;1.750;647;1.685;610;1.638;611;1.662;635;1.656;660;1.675;701;1.640;673;1.632;631;1.538;537;1.381;525;1.324;498;1.272;536;1.391;522;1.268;439;1.171;412;1.112;379;1.009;371;986;349;844
    100 ó más;233;455;215;429;194;506;198;489;170;459;158;439;141;378;113;336;103;310;80;265;84;232;59;189;88;235;151;335;129;265;125;246;124;236;106;209;95;186;34;107

Notas:

Notas de tabla

Fuente:Instituto Canario de Estadística (ISTAC) a partir de datos del Instituto Nacional de Estadística (INE).

Copyright: 2020


Instituto Canario de Estadística (ISTAC) www.gobiernodecanarias.org/istac
